	Compound_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB_ID	HMDB_ID_Link	COMP_ID	PLATFORM	CHEMICAL_ID	RT	MZ	RI	MASS	PUBCHEM	CAS	KEGG	Metabolite
2463	2463	Lipid	Plasmalogen	HMDB0011206	HMDB11206	52716	LC/MS Pos Late	100009162	2454	718.57449999999994	2454	718.57449999999994	11146967	NA	NA	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*
2465	2465	Lipid	Plasmalogen	HMDB0011352	HMDB11352	52673	LC/MS Pos Late	100009002	2270	724.52760000000001	2270	724.52760000000001	NA	NA	NA	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*
2467	2467	Lipid	Plasmalogen	NA	NA	52478	LC/MS Pos Late	100009007	2443	744.59019999999998	2443	744.59019999999998	NA	NA	NA	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*
2470	2470	Lipid	Plasmalogen	HMDB0011376	HMDB11376	52748	LC/MS Pos Late	100009225	2633	728.55889999999999	2633	728.55889999999999	NA	NA	NA	1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*
2473	2473	Lipid	Plasmalogen	HMDB0011220	HMDB11220	52689	LC/MS Pos Late	100009014	2154	766.57449999999994	2154	766.57449999999994	NA	NA	NA	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*
2474	2474	Lipid	Plasmalogen	HMDB0011211	HMDB11211	52682	LC/MS Pos Late	100009009	2226	742.57449999999994	2226	742.57449999999994	NA	NA	NA	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*
2478	2478	Lipid	Plasmalogen	HMDB0005779	HMDB05779	52475	LC/MS Pos Late	100008999	2511	752.55889999999999	2511	752.55889999999999	9547058	NA	NA	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*
2493	2493	Lipid	Lysoplasmalogen	HMDB0010407	HMDB10407	52474	LC/MS Pos Late	100002875	1547	480.3449	1547	480.3449	10917802	NA	NA	1-(1-enyl-palmitoyl)-GPC (P-16:0)*
2494	2494	Lipid	Lysoplasmalogen	NA	NA	39270	LC/MS Pos Late	100003000	1558	438.29790000000003	1558	438.29790000000003	NA	NA	NA	1-(1-enyl-palmitoyl)-GPE (P-16:0)*
2496	2496	Lipid	Lysoplasmalogen	NA	NA	44621	LC/MS Neg	100005372	6250	462.29899999999998	6250	462.29899999999998	NA	NA	NA	1-(1-enyl-oleoyl)-GPE (P-18:1)*
2498	2498	Lipid	Lysoplasmalogen	NA	NA	39271	LC/MS Pos Late	100003001	1649	466.32920000000001	1649	466.32920000000001	NA	NA	NA	1-(1-enyl-stearoyl)-GPE (P-18:0)*
2501	2501	Lipid	Glycerolipid Metabolism	HMDB0000131	HMDB00131	15122	LC/MS Neg	1254	758	91.040099999999995	758	91.040099999999995	753	56-81-5	C00116	glycerol
2502	2502	Lipid	Glycerolipid Metabolism	HMDB0000126	HMDB00126	43847	LC/MS Pos Early	100000258	580	173.02099999999999	580	173.02099999999999	754	29849-82-9	C00093	glycerol 3-phosphate
2507	2507	Lipid	Glycerolipid Metabolism	NA	NA	48857	LC/MS Polar	100001619	2430	245.04320000000001	2430	245.04320000000001	439964	NA	C03274	glycerophosphoglycerol
2515	2515	Lipid	Monoacylglycerol	HMDB0011567	HMDB11567	21184	LC/MS Neg	100000924	6650	281.24860000000001	6650	281.24860000000001	5283468	111-03-5	NA	1-oleoylglycerol (18:1)
2516	2516	Lipid	Monoacylglycerol	NA	NA	27447	LC/MS Neg	100001040	6477	279.23289999999997	6477	279.23289999999997	5283469	2277-28-3	NA	1-linoleoylglycerol (18:2)
2522	2522	Lipid	Monoacylglycerol	HMDB0011549	HMDB11549	34397	LC/MS Neg	100001433	6250	303.23289999999997	6250	303.23289999999997	5282281	35474-99-8	C13857	1-arachidonylglycerol (20:4)
2530	2530	Lipid	Monoacylglycerol	HMDB0011537	HMDB11537	21232	LC/MS Neg	100000943	6500	281.24860000000001	6500	281.24860000000001	5319879	3443-84-3	NA	2-oleoylglycerol (18:1)
2531	2531	Lipid	Monoacylglycerol	HMDB0011538	HMDB11538	32506	LC/MS Neg	100000987	6250	279.23289999999997	6250	279.23289999999997	5365676	3443-82-1	NA	2-linoleoylglycerol (18:2)
2544	2544	Lipid	Diacylglycerol	NA	NA	54953	LC/MS Pos Late	100010934	3057	584.5249	3057	584.5249	NA	NA	NA	diacylglycerol (14:0/18:1, 16:0/16:1) [1]*
2545	2545	Lipid	Diacylglycerol	NA	NA	54954	LC/MS Pos Late	100010935	3183	584.5249	3183	584.5249	NA	NA	NA	diacylglycerol (14:0/18:1, 16:0/16:1) [2]*
2546	2546	Lipid	Diacylglycerol	NA	NA	54966	LC/MS Pos Late	100010940	2733	608.5249	2733	608.5249	NA	NA	NA	diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*
2557	2557	Lipid	Diacylglycerol	HMDB0007098	HMDB07098	54991	LC/MS Pos Late	100010947	3568	586.54049999999995	3568	586.54049999999995	NA	NA	NA	palmitoyl-palmitoyl-glycerol (16:0/16:0) [1]*
2558	2558	Lipid	Diacylglycerol	NA	HMDB07098_2	54990	LC/MS Pos Late	100010948	3734	586.54049999999995	3734	586.54049999999995	NA	NA	NA	palmitoyl-palmitoyl-glycerol (16:0/16:0) [2]*
2561	2561	Lipid	Diacylglycerol	HMDB0007102	HMDB07102	54943	LC/MS Pos Late	100010916	3562	612.55619999999999	3562	612.55619999999999	NA	NA	C13861	palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*
2562	2562	Lipid	Diacylglycerol	NA	HMDB07102_2	54942	LC/MS Pos Late	100010917	3695	612.55619999999999	3695	612.55619999999999	NA	NA	C13861	palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*
2563	2563	Lipid	Diacylglycerol	HMDB0007103	HMDB07103	52633	LC/MS Pos Late	100009052	3080	610.54049999999995	3080	610.54049999999995	9543695	NA	NA	palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*
2564	2564	Lipid	Diacylglycerol	NA	HMDB07103_2	52634	LC/MS Pos Late	100009055	3197	610.54049999999995	3197	610.54049999999995	NA	NA	NA	palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*
2568	2568	Lipid	Diacylglycerol	HMDB0007132	HMDB07132	54967	LC/MS Pos Late	100010930	2664	608.5249	2664	608.5249	NA	NA	NA	palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*
2570	2570	Lipid	Diacylglycerol	HMDB0007112	HMDB07112	54957	LC/MS Pos Late	100010924	2916	634.54049999999995	2916	634.54049999999995	NA	NA	NA	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*
2571	2571	Lipid	Diacylglycerol	NA	HMDB07112_2	54958	LC/MS Pos Late	100010925	3015	634.54049999999995	3015	634.54049999999995	NA	NA	NA	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*
2572	2572	Lipid	Diacylglycerol	NA	NA	57406	LC/MS Pos Late	100015681	2528	632.5249	2528	632.5249	NA	NA	NA	palmitoleoyl-arachidonoyl-glycerol (16:1/20:4) [2]*
2573	2573	Lipid	Diacylglycerol	HMDB0007121	HMDB07121	57373	LC/MS Pos Late	100015618	2749	658.54049999999995	2749	658.54049999999995	NA	NA	NA	palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]*
2576	2576	Lipid	Diacylglycerol	NA	NA	54948	LC/MS Pos Late	100010920	3650	638.57180000000005	3650	638.57180000000005	NA	NA	NA	stearoyl-linoleoyl-glycerol (18:0/18:2) [1]*
2577	2577	Lipid	Diacylglycerol	NA	NA	54947	LC/MS Pos Late	100010921	3762	638.57180000000005	3762	638.57180000000005	NA	NA	NA	stearoyl-linoleoyl-glycerol (18:0/18:2) [2]*
2579	2579	Lipid	Diacylglycerol	HMDB0007218	HMDB07218	54945	LC/MS Pos Late	100010918	3571	638.57180000000005	3571	638.57180000000005	NA	NA	NA	oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*
2580	2580	Lipid	Diacylglycerol	NA	HMDB07218_2	54946	LC/MS Pos Late	100010919	3695	638.57180000000005	3695	638.57180000000005	NA	NA	NA	oleoyl-oleoyl-glycerol (18:1/18:1) [2]*
2582	2582	Lipid	Diacylglycerol	HMDB0007219	HMDB07219	46798	LC/MS Pos Late	100002989	3115	636.55619999999999	3115	636.55619999999999	NA	106292-55-1	NA	oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
2583	2583	Lipid	Diacylglycerol	NA	HMDB07219_2	46799	LC/MS Pos Late	100002990	3223	636.55619999999999	3223	636.55619999999999	NA	104346-53-4	NA	oleoyl-linoleoyl-glycerol (18:1/18:2) [2]
2585	2585	Lipid	Diacylglycerol	HMDB0007220	HMDB07220	54970	LC/MS Pos Late	100010944	2819	634.54049999999995	2819	634.54049999999995	NA	NA	NA	oleoyl-linolenoyl-glycerol (18:1/18:3) [2]*
2587	2587	Lipid	Diacylglycerol	HMDB0007248	HMDB07248	54968	LC/MS Pos Late	100010941	2720	634.54049999999995	2720	634.54049999999995	NA	NA	NA	linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*
2589	2589	Lipid	Diacylglycerol	HMDB0007249	HMDB07249	54963	LC/MS Pos Late	100010926	2426	632.5249	2426	632.5249	NA	NA	NA	linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*
2590	2590	Lipid	Diacylglycerol	HMDB0007250	HMDB07250	54964	LC/MS Pos Late	100010927	2478	632.5249	2478	632.5249	NA	NA	NA	linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*
2593	2593	Lipid	Diacylglycerol	NA	NA	57450	LC/MS Pos Late	100010949	3404	662.57180000000005	3404	662.57180000000005	NA	NA	NA	stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*
2594	2594	Lipid	Diacylglycerol	NA	NA	57449	LC/MS Pos Late	100010950	3522	662.57180000000005	3522	662.57180000000005	NA	NA	NA	stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*
2595	2595	Lipid	Diacylglycerol	HMDB0007228	HMDB07228	54960	LC/MS Pos Late	100010936	2907	660.55619999999999	2907	660.55619999999999	NA	NA	NA	oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*
2596	2596	Lipid	Diacylglycerol	NA	HMDB07228_2	54961	LC/MS Pos Late	100010937	2990	660.55619999999999	2990	660.55619999999999	NA	NA	NA	oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*
2597	2597	Lipid	Diacylglycerol	HMDB0007257	HMDB07257	54955	LC/MS Pos Late	100010922	2590	658.54049999999995	2590	658.54049999999995	NA	NA	NA	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*
2598	2598	Lipid	Diacylglycerol	NA	HMDB07257_2	54956	LC/MS Pos Late	100010923	2650	658.54049999999995	2650	658.54049999999995	NA	NA	NA	linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*
2601	2601	Lipid	Diacylglycerol	NA	NA	54949	LC/MS Pos Late	100010928	2450	682.54049999999995	2450	682.54049999999995	NA	NA	NA	linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*
2602	2602	Lipid	Diacylglycerol	HMDB0007266	HMDB07266	54950	LC/MS Pos Late	100010929	2500	682.54049999999995	2500	682.54049999999995	NA	NA	NA	linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [2]*
2652	2652	Lipid	Sphingolipid Synthesis	HMDB0000269	HMDB00269	17769	LC/MS Pos Late	313	1413	302.30540000000002	1413	302.30540000000002	3126	3102-56-5	C00836	sphinganine
2653	2653	Lipid	Sphingolipid Synthesis	HMDB0001383	HMDB01383	52605	LC/MS Pos Late	100001876	1431	382.27170000000001	1431	382.27170000000001	520	19794-97-9	NA	sphinganine-1-phosphate
2658	2658	Lipid	Dihydroceramides	HMDB0011760	HMDB11760	52604	LC/MS Pos Late	100009028	3090	540.53499999999997	3090	540.53499999999997	5283572	5966-29-0	NA	N-palmitoyl-sphinganine (d18:0/16:0)
2666	2666	Lipid	Ceramides	HMDB0004949	HMDB04949	44877	LC/MS Pos Late	1518	2893	538.51940000000002	2893	538.51940000000002	5283564	24696-26-2	NA	N-palmitoyl-sphingosine (d18:1/16:0)
2670	2670	Lipid	Ceramides	HMDB0004950	HMDB04950	54979	LC/MS Pos Late	1547	3392	566.55070000000001	3392	566.55070000000001	5283565	104404-17-3	NA	N-stearoyl-sphingosine (d18:1/18:0)*
2678	2678	Lipid	Ceramides	NA	NA	57372	LC/MS Pos Late	100015624	3911	620.59760000000006	3911	620.59760000000006	NA	NA	NA	N-behenoyl-sphingadienine (d18:2/22:0)*
2693	2693	Lipid	Ceramides	NA	NA	57434	LC/MS Pos Late	100015737	3055	552.53510000000006	3055	552.53510000000006	NA	NA	NA	ceramide (d18:1/17:0, d17:1/18:0)*
2695	2695	Lipid	Ceramides	NA	NA	57440	LC/MS Pos Late	100015755	3920	594.58199999999999	3920	594.58199999999999	NA	NA	NA	ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*
2696	2696	Lipid	Ceramides	NA	NA	57437	LC/MS Pos Late	100015727	3850	620.59760000000006	3850	620.59760000000006	NA	NA	NA	ceramide (d16:1/24:1, d18:1/22:1)*
2697	2697	Lipid	Ceramides	NA	NA	57443	LC/MS Pos Late	100015744	3858	646.61329999999998	3858	646.61329999999998	NA	NA	NA	ceramide (d18:2/24:1, d18:1/24:2)*
2701	2701	Lipid	Hexosylceramides (HCER)	NA	NA	53013	LC/MS Pos Late	100009272	2623	700.57219999999995	2623	700.57219999999995	NA	NA	NA	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
2702	2702	Lipid	Hexosylceramides (HCER)	NA	NA	52234	LC/MS Pos Late	100001882	3053	728.60350000000005	3053	728.60350000000005	NA	NA	NA	glycosyl-N-stearoyl-sphingosine (d18:1/18:0)
2743	2743	Lipid	Dihydrosphingomyelins	NA	NA	52434	LC/MS Pos Late	100008954	2290	705.59050000000002	2290	705.59050000000002	9939965	NA	NA	palmitoyl dihydrosphingomyelin (d18:0/16:0)*
2744	2744	Lipid	Dihydrosphingomyelins	HMDB0012091	HMDB12091	57331	LC/MS Pos Late	100009026	3150	789.68439999999998	3150	789.68439999999998	NA	NA	NA	behenoyl dihydrosphingomyelin (d18:0/22:0)*
2745	2745	Lipid	Dihydrosphingomyelins	HMDB0012087	HMDB12087	57473	LC/MS Pos Late	100009027	2362	733.62180000000001	2362	733.62180000000001	NA	NA	NA	sphingomyelin (d18:0/18:0, d19:0/17:0)*
2747	2747	Lipid	Sphingomyelins	NA	NA	37506	LC/MS Pos Late	100002107	2168	703.57489999999996	2168	703.57489999999996	9939941	6254-89-3	NA	palmitoyl sphingomyelin (d18:1/16:0)
2749	2749	Lipid	Sphingomyelins	HMDB0001348	HMDB01348	19503	LC/MS Pos Late	1538	2400	731.60619999999994	2400	731.60619999999994	6453725	85187-10-6;85187-10-6	C00550	stearoyl sphingomyelin (d18:1/18:0)
2750	2750	Lipid	Sphingomyelins	HMDB0012103	HMDB12103	48492	LC/MS Pos Late	100006294	3083	787.66880000000003	3083	787.66880000000003	NA	NA	NA	behenoyl sphingomyelin (d18:1/22:0)*
2751	2751	Lipid	Sphingomyelins	HMDB0012105	HMDB12105	52436	LC/MS Pos Late	100008955	3200	801.68439999999998	3200	801.68439999999998	NA	NA	NA	tricosanoyl sphingomyelin (d18:1/23:0)*
2752	2752	Lipid	Sphingomyelins	NA	NA	57330	LC/MS Pos Late	100006298	3437	815.70010000000002	3437	815.70010000000002	NA	60037-60-7	NA	lignoceroyl sphingomyelin (d18:1/24:0)
2753	2753	Lipid	Sphingomyelins	NA	NA	57474	LC/MS Pos Late	100015788	1904	727.57489999999996	1904	727.57489999999996	NA	NA	NA	sphingomyelin (d18:2/18:1)*
2754	2754	Lipid	Sphingomyelins	NA	NA	57482	LC/MS Pos Late	100015791	2315	797.65309999999999	2315	797.65309999999999	NA	NA	NA	sphingomyelin (d18:2/23:1)*
2755	2755	Lipid	Sphingomyelins	NA	NA	57479	LC/MS Pos Late	100015789	2215	809.65309999999999	2215	809.65309999999999	NA	NA	NA	sphingomyelin (d18:2/24:2)*
2757	2757	Lipid	Sphingomyelins	HMDB0012097	HMDB12097	42463	LC/MS Pos Late	100004328	1998	675.54359999999997	1998	675.54359999999997	11433862	NA	NA	sphingomyelin (d18:1/14:0, d16:1/16:0)*
2759	2759	Lipid	Sphingomyelins	NA	NA	52433	LC/MS Pos Late	100006314	2082	689.55920000000003	2082	689.55920000000003	NA	121999-58-4	NA	sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*
2761	2761	Lipid	Sphingomyelins	NA	NA	42459	LC/MS Pos Late	100004329	2002	701.55920000000003	2002	701.55920000000003	NA	NA	NA	sphingomyelin (d18:2/16:0, d18:1/16:1)*
2762	2762	Lipid	Sphingomyelins	NA	NA	52615	LC/MS Pos Late	100008920	2312	717.59050000000002	2312	717.59050000000002	NA	121999-64-2	NA	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)
2763	2763	Lipid	Sphingomyelins	HMDB0012101	HMDB12101	37529	LC/MS Pos Late	100002106	2167	729.59050000000002	2167	729.59050000000002	6443882	108392-10-5	NA	sphingomyelin (d18:1/18:1, d18:2/18:0)
2764	2764	Lipid	Sphingomyelins	NA	NA	57475	LC/MS Pos Late	100015787	2330	745.62180000000001	2330	745.62180000000001	NA	NA	NA	sphingomyelin (d18:1/19:0, d19:1/18:0)*
2765	2765	Lipid	Sphingomyelins	HMDB0012102	HMDB12102	48490	LC/MS Pos Late	100006290	2685	759.63750000000005	2685	759.63750000000005	NA	NA	NA	sphingomyelin (d18:1/20:0, d16:1/22:0)*
2766	2766	Lipid	Sphingomyelins	NA	NA	48491	LC/MS Pos Late	100006292	2383	757.62180000000001	2383	757.62180000000001	NA	222403-67-0	NA	sphingomyelin (d18:1/20:1, d18:2/20:0)*
2767	2767	Lipid	Sphingomyelins	NA	NA	57481	LC/MS Pos Late	100006293	2039	755.60619999999994	2039	755.60619999999994	NA	NA	NA	sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*
2768	2768	Lipid	Sphingomyelins	NA	NA	52495	LC/MS Pos Late	100009025	2793	773.65309999999999	2793	773.65309999999999	NA	NA	NA	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*
2769	2769	Lipid	Sphingomyelins	NA	NA	57480	LC/MS Pos Late	100015790	2330	771.63750000000005	2330	771.63750000000005	NA	NA	NA	sphingomyelin (d18:2/21:0, d16:2/23:0)*
2770	2770	Lipid	Sphingomyelins	HMDB0012104	HMDB12104	48493	LC/MS Pos Late	100006295	2666	785.65309999999999	2666	785.65309999999999	NA	NA	NA	sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*
2771	2771	Lipid	Sphingomyelins	NA	NA	57477	LC/MS Pos Late	100006296	2209	783.63750000000005	2209	783.63750000000005	NA	NA	NA	sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*
2772	2772	Lipid	Sphingomyelins	NA	NA	52435	LC/MS Pos Late	100008956	2845	799.66869999999994	2845	799.66869999999994	NA	NA	NA	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*
2773	2773	Lipid	Sphingomyelins	HMDB0012107	HMDB12107	47153	LC/MS Pos Late	100005986	3033	813.68439999999998	3033	813.68439999999998	NA	94359-13-4	NA	sphingomyelin (d18:1/24:1, d18:2/24:0)*
2774	2774	Lipid	Sphingomyelins	NA	NA	52437	LC/MS Pos Late	100008957	2635	811.66869999999994	2635	811.66869999999994	NA	NA	NA	sphingomyelin (d18:2/24:1, d18:1/24:2)*
2775	2775	Lipid	Sphingomyelins	NA	NA	57478	LC/MS Pos Late	100015792	3500	829.71569999999997	3500	829.71569999999997	NA	NA	NA	sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*
2803	2803	Lipid	Sphingosines	HMDB0000252	HMDB00252	17747	LC/MS Pos Late	297	1393	300.28969999999998	1393	300.28969999999998	5353955	123-78-4	C00319	sphingosine
2805	2805	Lipid	Sphingosines	HMDB0000277	HMDB00277	34445	LC/MS Polar	100000626	1850	378.24149999999997	1850	378.24149999999997	5283560	26993-30-6	C06124	sphingosine 1-phosphate
2821	2821	Lipid	Mevalonate Metabolism	HMDB0000355	HMDB00355	531	LC/MS Polar	112	2850	161.04560000000001	2850	161.04560000000001	1662	503-49-1	C03761	3-hydroxy-3-methylglutarate
2822	2822	Lipid	Mevalonate Metabolism	HMDB0000227	HMDB00227	39583	LC/MS Polar	30	1462	147.06630000000001	1462	147.06630000000001	439230	96949-03-0	C02104	mevalonate
2836	2836	Lipid	Sterol	HMDB0000067	HMDB00067	63	LC/MS Pos Late	266	2707	369.35160000000002	2707	369.35160000000002	11025495	57-88-5	C00187	cholesterol
2847	2847	Lipid	Sterol	HMDB0012458	HMDB12458	36776	LC/MS Neg	100001609	5288.1	429.30099999999999	5288.1	429.30099999999999	3081085	115538-85-7	C17337	7-HOCA
2861	2861	Lipid	Sterol	HMDB0000852	HMDB00852	27414	LC/MS Pos Late	100001033	3054	397.38290000000001	3054	397.38290000000001	222284	83-46-5	C01753	beta-sitosterol
2864	2864	Lipid	Sterol	HMDB0002869	HMDB02869	33997	LC/MS Pos Late	100001269	2873	383.36720000000003	2873	383.36720000000003	173183	474-62-4	C01789	campesterol
2937	2937	Lipid	Corticosteroids	HMDB0001547	HMDB01547	5983	LC/MS Neg	272	5040	345.20710000000003	5040	345.20710000000003	5753	50-22-6	C02140	corticosterone
3042	3042	Lipid	Primary Bile Acid Metabolism	HMDB0000619	HMDB00619	22842	LC/MS Neg	136	5165	407.28030000000001	5165	407.28030000000001	221493	81-25-4	C00695	cholate
3043	3043	Lipid	Primary Bile Acid Metabolism	HMDB0000138	HMDB00138	18476	LC/MS Neg	342	5163	464.30180000000001	5163	464.30180000000001	10140	475-31-0;863-57-0	C01921	glycocholate
3044	3044	Lipid	Primary Bile Acid Metabolism	HMDB0000036	HMDB00036	18497	LC/MS Neg	1648	5150	514.28440000000001	5150	514.28440000000001	6675	145-42-6	C05122	taurocholate
3045	3045	Lipid	Primary Bile Acid Metabolism	HMDB0000518	HMDB00518	1563	LC/MS Neg	1123	5264	391.28539999999998	5264	391.28539999999998	10133	474-24-9;474-25-9	C02528	chenodeoxycholate
3046	3046	Lipid	Primary Bile Acid Metabolism	HMDB0000637	HMDB00637	32346	LC/MS Neg	1628	5236.1000000000004	448.30680000000001	5236.1000000000004	448.30680000000001	12544	16564-43-5	C05466	glycochenodeoxycholate
3047	3047	Lipid	Primary Bile Acid Metabolism	HMDB0000951	HMDB00951	18494	LC/MS Neg	1629	5250	498.28949999999998	5250	498.28949999999998	387316	6009-98-9	C05465	taurochenodeoxycholate
3048	3048	Lipid	Primary Bile Acid Metabolism	HMDB0000415	HMDB00415	31885	LC/MS Neg	100001066	4794	407.28030000000001	4794	407.28030000000001	5283853	2393-59-1	C17726	beta-muricholate
3049	3049	Lipid	Primary Bile Acid Metabolism	HMDB0000506	HMDB00506	34092	LC/MS Neg	100001280	4765	407.28030000000001	4765	407.28030000000001	3083761	2393-58-0	C17647	alpha-muricholate
3050	3050	Lipid	Primary Bile Acid Metabolism	NA	NA	42605	LC/MS Neg	100004064	4745	514.28440000000001	4745	514.28440000000001	NA	NA	NA	tauro-alpha-muricholate
3051	3051	Lipid	Primary Bile Acid Metabolism	HMDB0000932	HMDB00932	33983	LC/MS Neg	100001250	4774	514.28440000000001	4774	514.28440000000001	168408	25696-60-0	NA	tauro-beta-muricholate
3054	3054	Lipid	Primary Bile Acid Metabolism	NA	NA	62066	LC/MS Neg	100020214	4762	464.30180000000001	4762	464.30180000000001	NA	NA	NA	glyco-beta-muricholate
3063	3063	Lipid	Secondary Bile Acid Metabolism	HMDB0000626	HMDB00626	1114	LC/MS Neg	302	5294	391.28539999999998	5294	391.28539999999998	222528	83-44-3	C04483	deoxycholate
3067	3067	Lipid	Secondary Bile Acid Metabolism	HMDB0000631	HMDB00631	18477	LC/MS Neg	100000436	5281	448.30680000000001	5281	448.30680000000001	3035026	360-65-6	C05464	glycodeoxycholate
3068	3068	Lipid	Secondary Bile Acid Metabolism	HMDB0000896	HMDB00896	12261	LC/MS Neg	1668	5257.4	498.28949999999998	5257.4	498.28949999999998	2733768	207737-97-1	C05463	taurodeoxycholate
3082	3082	Lipid	Secondary Bile Acid Metabolism	HMDB0000946	HMDB00946	1605	LC/MS Neg	1135	5055	391.28539999999998	5055	391.28539999999998	31401	128-13-2	C07880	ursodeoxycholate
3087	3087	Lipid	Secondary Bile Acid Metabolism	HMDB0000874	HMDB00874	39378	LC/MS Neg	100002912	5025	498.28949999999998	5025	498.28949999999998	9848818	14605-22-2	NA	tauroursodeoxycholate
3092	3092	Lipid	Secondary Bile Acid Metabolism	NA	NA	46336	LC/MS Neg	100001068	5033	389.2697	5033	389.2697	164960	2393-61-5	NA	6-oxolithocholate
3098	3098	Lipid	Secondary Bile Acid Metabolism	NA	NA	43588	LC/MS Neg	100003869	5073	498.28949999999998	5073	498.28949999999998	119046	38411-85-7	NA	taurohyodeoxycholic acid
3105	3105	Lipid	Secondary Bile Acid Metabolism	NA	NA	32807	LC/MS Neg	100001990	4750	279.61419999999998	4750	279.61419999999998	NA	NA	NA	taurocholenate sulfate*
3115	3115	Lipid	Secondary Bile Acid Metabolism	NA	NA	57573	LC/MS Neg	100002913	4648	407.28030000000001	4648	407.28030000000001	NA	2955-27-3	NA	ursocholate
3682	3682	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	HMDB0000195	HMDB00195	1123	LC/MS Neg	361	1602.1	267.07350000000002	1602.1	267.07350000000002	6021	58-63-9	C00294	inosine
3686	3686	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	HMDB0000299	HMDB00299	15136	LC/MS Neg	100000299	1075	283.0684	1075	283.0684	64959	146-80-5	C01762	xanthosine
3689	3689	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	HMDB0002721	HMDB02721	48351	LC/MS Pos Early	100001409	1430	283.1037	1430	283.1037	65095	20245-33-4	NA	N1-methylinosine
3692	3692	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	HMDB0000289	HMDB00289	1604	LC/MS Neg	1134	757.1	167.02109999999999	757.1	167.02109999999999	1175	69-93-2;120K5305	C00366	urate
3694	3694	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	HMDB0000462	HMDB00462	1107	LC/MS Polar	1002	1672	157.0367	1672	157.0367	204	97-59-6	C02350	allantoin
3695	3695	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	HMDB0001209	HMDB01209	33434	LC/MS Polar	218	2960	175.04730000000001	2960	175.04730000000001	203	99-16-1	C00499	allantoic acid
3707	3707	Nucleotide	Purine Metabolism, Adenine containing	HMDB0000050	HMDB00050	555	LC/MS Pos Early	798	2169	268.10399999999998	2169	268.10399999999998	60961	58-61-7	C00212	adenosine
3708	3708	Nucleotide	Purine Metabolism, Adenine containing	HMDB0000034	HMDB00034	554	LC/MS Pos Early	880	2221	136.06180000000001	2221	136.06180000000001	190	73-24-5	C00147	adenine
3713	3713	Nucleotide	Purine Metabolism, Adenine containing	HMDB0003331	HMDB03331	15650	LC/MS Pos Early	1242	2120	282.11970000000002	2120	282.11970000000002	27476	15763-06-1	C02494	1-methyladenosine
